Battery,Cycle,RMSE_Shepherd_mV,RMSE_Poly_mV,RMSE_MLP_mV,MAE_Shepherd_mV,MAE_Poly_mV,MAE_MLP_mV
RW4,37,29.238651018778334,32.39084421970793,30.041183098534866,22.404190526371597,28.936250488762145,27.51660993973762
RW4,38,41.32279965367328,31.297911235350153,24.18929903840475,30.71303728330906,26.24053952401507,20.154853920860837
RW4,39,44.63166016058127,32.51527638029103,28.92997387239907,34.95739768256439,24.542685848361245,22.51908639114595
RW4,40,40.78855128148543,30.528502175704304,21.753704434440024,34.159056829788966,23.403860319557314,16.81116632010377
RW4,41,40.46723518310236,36.10196126285756,31.261869122958316,33.52355868337256,26.850061961698014,21.239619976010218
RW4,42,32.839272311626004,30.99023169799256,30.524250381361906,26.51052401203072,22.715793189150567,22.22350754078186
RW4,43,28.948737304183012,32.310772362567626,27.912353521432554,22.896355403641074,29.964846640898294,26.396326229046732
RW4,44,36.36066353447393,38.256001605835706,37.528512665382685,28.72801352090788,30.757338304011363,28.829028154497195
RW4,45,27.913899537504655,29.103606810649215,24.69466340037598,19.37763142370234,27.18315068303104,22.568295396674834
RW4,46,22.387935489917098,35.310874794685354,33.53163676675067,15.548432497702487,26.147730373028896,25.539609825495187
RW4,47,23.204441709357244,36.9370505398636,40.70501450564384,17.538775959302708,31.0148145207985,33.02203731438087
RW4,48,35.1879397824345,45.21702156800295,44.04288209023362,27.782740052511283,30.8147909008631,29.232706413304165
RW4,49,23.739409183274688,34.17326776851055,33.31625353116061,16.16925201176347,26.645151732558347,25.583307797431498
RW5,10,57.308482868310435,32.55560774205223,24.541612228620068,45.5838327095257,24.154593786994205,16.90242058104392
RW5,11,51.41040006286032,27.634182111381616,19.585440361926945,40.31411308281751,18.319427612533314,13.436003335300311
RW5,12,39.98819593804173,18.88321609439521,13.85391869058137,25.702034990056376,13.89941801866969,10.045186782322151
RW5,13,44.0647354654445,23.991834712660708,22.721051870756384,36.678091126553625,17.43033786126253,15.768820661582795
RW5,14,27.970849536100353,23.769220285592585,17.302152637984182,19.127533202474947,18.830505850946416,13.056424804603322
RW5,15,54.07050730577819,29.725249524585315,24.453364068221575,40.977939300055766,19.418121014527237,16.58567424189236
RW5,16,52.866298750825436,16.07251814562922,13.86920970070443,44.8659503932515,11.03918273388175,8.025803394885196
RW5,17,43.166926470550244,32.045014782554986,29.788877012647088,35.96092746975844,23.1128763768918,21.676258539620594
RW5,18,35.674589332719975,22.00438954020678,22.755169909344588,27.539982673249906,16.72714149559006,17.183046886537987
RW5,19,40.402633575421675,23.32295148111365,22.70156572817309,32.478247591214824,16.76416395397235,15.993254181160994
RW5,20,39.0029019085585,32.583053353821704,29.700207871556955,31.715246439209984,25.024270552022713,22.62663531052806
RW5,21,26.770575077395733,21.29499507224934,22.452278290775983,20.36028521476535,15.80935202887622,16.933552726531364
RW5,22,39.869535229697206,26.3239089354794,26.220047639377704,31.636549446959116,19.74561213463986,19.020925509336116
RW5,23,44.99715128197252,27.754892225608607,24.93385226422606,32.21309532969476,18.75216528935315,16.59999030845834
RW5,24,37.48514064053239,25.72388407387715,25.147898229946374,31.181508079042654,17.25305486056015,16.697916291836986
RW5,25,29.36323470701638,36.12340459018811,31.63999024968718,22.58438818243116,27.838110063017556,23.217976154006667
RW5,26,28.083847189680057,23.693767738739243,21.87387940748267,20.784070070442436,18.605119714867485,16.771317349987147
RW5,27,20.11259425292888,29.18316168849542,26.17984940662667,13.16253197946466,21.134895770913296,17.40352194782326
RW5,28,38.52318419676574,27.27103071392535,24.989987812758315,29.106003055504583,21.2078659686711,18.956381613267023
RW5,29,24.205486858066585,24.80985074264337,23.73691737161432,17.898294284331566,16.73712577199999,14.074706562535688
RW5,30,30.966349032129678,34.21137241502716,30.67086943830617,20.88273630972723,26.738723920963775,23.38329922150584
RW5,31,51.92543786240508,25.175159937291017,19.926279852845855,46.38285231895945,16.27400143650058,14.330978018812147
RW5,32,31.8064527494729,20.217725548136464,17.804988533224215,26.502836360171564,13.349447144978843,14.577650768057685
RW5,33,25.779466722003303,36.29575837704564,35.177860966816525,19.50247020101122,25.559894618845714,22.66325459149939
RW5,34,42.25341149074227,28.324749209615007,24.581189205847984,36.55901381835001,19.36628709995374,15.56550819796552
RW5,35,45.30043689547752,29.863967968772346,24.608199076847225,35.29066296321362,23.123293267053896,19.146509187704392
RW5,36,43.92724210204319,30.31630720062705,23.14008780684465,35.64960030196151,24.31268988533767,18.650547764004784
RW5,37,32.775354020558396,35.50178131524594,31.615294062779803,24.957515244630926,28.85587535572599,26.237511053359427
RW5,38,23.58137575671428,37.84022081965776,38.03244736954461,13.86000906020995,26.618744791077194,26.310550159611225
RW5,39,41.028434718928125,26.726391494251544,21.3108832135075,29.378127647366608,20.429005937874173,15.795196018215055
RW5,40,38.344343405631264,29.861939440552668,27.393462497403966,27.86625791665185,23.871862579402688,20.854924882563306
